orig.order,quad1,quad,time,dates,ini.date,fin.date,elap.yr,site,coral,ID,Coral,ini.area,ini.perim,ini.feret,ini.notes,Coral,fin.area,fin.perim,fin.feret,fin.notes,tran
89,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,30,B30,30,0.088,1.077,0.377,,30,0.01,0.823,0.397,gone,B
90,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,31,B31,31,0.023,1.533,0.753,nv,31,0.004,0.62,0.309,gone,B
91,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,32,B32,32,0.145,1.4,0.489,,32,0.003,0.851,0.425,gone,B
92,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,33,B33,33,1,3.645,1.189,,33,0.005,0.932,0.476,nv,B
93,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,34,B34,34,0.541,2.726,0.997,fuzzy,34,0.531,2.71,0.985,angle,B
94,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,35,B35,35,0.257,1.833,0.618,fuzzy,35,0.244,1.791,0.618,nv,B
95,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,36,B36,36,0.136,1.344,0.467,fuzzy,36,0.008,0.84,0.414,gone,B
96,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,37,B37,37,0.799,3.262,1.107,fuzzy,37,0.77,3.189,1.102,,B
97,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,38,B38,38,1.099,3.833,1.342,fuzzy,38,1.215,4.029,1.405,,B
98,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,39,B39,39,1.163,3.968,1.364,,39,1.056,3.789,1.328,,B
99,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,40,B40,40,0.612,2.859,0.949,,40,0.007,1.124,0.544,nv,B
100,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,41,B41,41,0.41,2.33,0.764,,41,0.007,1.124,0.544,nv,B
101,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,42,B42,42,0.007,0.731,0.378,nv,42,0.007,1.124,0.544,nv,B
102,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,43,B43,43,0.007,0.764,0.377,nv,43,0.007,1.124,0.544,nv,B
103,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,44,B44,44,0,0.587,0.293,nv,44,0.007,1.124,0.544,nv,B
