row,quad,date,date.no,coral.id,coral.no,area,perim,feret,feretx,ferety,feretangle,minferet,code,sizeOK,surv,growth,recruit,other.notes
193,SC1_62,10-Dec-07,39426,SC1_62_2,2,0.488,2.737,0.884,27.992,17.271,136.102,0.764,,1,1,1,0,
194,SC1_62,10-Dec-07,39426,SC1_62_3,3,0.292,2.072,0.705,30.936,17.656,135.69,0.569,,1,1,1,0,
195,SC1_62,10-Dec-07,39426,SC1_62_4,4,0.295,2.005,0.7,36.741,16.37,11.889,0.541,angle,0,1,0,0,
196,SC1_62,10-Dec-07,39426,SC1_62_5,5,0.354,2.174,0.747,38.28,16.718,11.129,0.627,angle,0,1,0,0,
197,SC1_62,10-Dec-07,39426,SC1_62_6,6,0.398,2.303,0.813,4.795,16.213,156.468,0.625,angle,0,1,0,0,
198,SC1_62,10-Dec-07,39426,SC1_62_7,7,0.333,2.192,0.853,12.223,12.764,40.426,0.501,angle,0,1,0,0,
199,SC1_62,15-Dec-08,39797,SC1_62_1,1,0.731,3.145,1.1,27.186,9.102,121.608,0.868,,1,1,1,0,
200,SC1_62,15-Dec-08,39797,SC1_62_2,2,0.722,3.086,1.037,24.376,15.538,132.184,0.925,,1,1,1,0,
201,SC1_62,15-Dec-08,39797,SC1_62_3,3,0.286,1.958,0.698,27.366,16.187,139.185,0.565,,1,1,1,0,
202,SC1_62,15-Dec-08,39797,SC1_62_4,4,0.346,2.161,0.79,33.238,15.514,43.152,0.602,angle,0,1,0,0,
203,SC1_62,15-Dec-08,39797,SC1_62_5,5,0.478,2.536,0.915,34.535,15.61,13.671,0.684,angle,0,1,0,0,
204,SC1_62,15-Dec-08,39797,SC1_62_6,6,0.006,0.605,0.297,4.191,13.437,68.629,0.033,nv,0,NA,0,0,
