"","orig.order","quad1","quad","time","dates","ini.date","fin.date","elap.yr","site","coral","ID","Coral","ini.area","ini.perim","ini.feret","ini.notes","Coral.1","fin.area","fin.perim","fin.feret","fin.notes","tran","ini.areaLN","fin.areaLN"
"173",173,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",9,"B9",9,0.286,1.948,0.655,"",9,0.556,2.733,0.913,"","B",-1.25176346816228,-0.586986984731555
"174",174,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",10,"B10",10,0.304,2.023,0.684,"",10,0.578,2.789,0.927,"","B",-1.19072757757592,-0.54818141030976
"175",175,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",11,"B11",11,0.597,2.828,0.952,"",11,0.667,2.993,1.032,"","B",-0.515838165589535,-0.404965233066513
"176",176,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",12,"B12",12,0.852,3.402,1.176,"",12,1.003,3.674,1.287,"","B",-0.160168752152821,0.00299550897979837
"177",177,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",13,"B13",13,0.588,2.818,1.003,"",13,0.661,2.958,1.026,"angle","B",-0.53102833108351,-0.414001439130451
"178",178,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",14,"B14",14,0.304,2.019,0.687,"",14,0.002,0.834,0.424,"nv","B",-1.19072757757592,-6.21460809842219
"179",179,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",15,"B15",15,0.991,3.653,1.239,"",15,0.000829,0.772,0.386,"nv","B",-0.00904074465214907,-7.09529040282898
"180",180,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",16,"B16",16,0.662,2.98,1.013,"",16,0.007,0.948,0.473,"nv","B",-0.412489723045129,-4.96184512992682
"181",181,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",17,"B17",17,0.436,2.428,0.846,"",17,0.726,3.101,1.053,"","B",-0.830113035633103,-0.320205264157341
"182",182,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",18,"B18",18,0.459,2.493,0.889,"",18,0.586,2.906,1.101,"angle","B",-0.778705068921592,-0.534435489405125
"183",183,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",19,"B19",19,0.683,3.04,1.07,"",19,0.907,3.547,1.291,"","B",-0.381260419411347,-0.0976128288670004
"184",184,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",20,"B20",20,0.903,3.541,1.312,"",20,1.118,3.932,1.38,"","B",-0.102032725565152,0.111541374732908
"185",185,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",21,"B21",21,0.11,1.207,0.429,"",21,0.001,0.373,0.186,"gone","B",-2.20727491318972,-6.90775527898214
"186",186,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",22,"B22",22,0.676,2.999,0.994,"",22,0.846,3.349,1.094,"","B",-0.391562202939173,-0.167235919375914
"187",187,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",23,"B23",23,0.077,1.021,0.355,"",23,0.328,2.068,0.686,"","B",-2.56394985712845,-1.11474167059799
"188",188,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",24,"B24",24,0.532,2.675,0.905,"",24,0.538,2.685,0.911,"angle","B",-0.631111789640493,-0.619896718820353
"189",189,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",25,"B25",25,0.917,3.545,1.262,"",25,1.141,3.92,1.365,"","B",-0.0866478067256722,0.131905070879939
"190",190,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",26,"B26",26,0.339,2.142,0.724,"",26,0.346,2.151,0.73,"nv","B",-1.08175517160169,-1.06131650392441
"191",191,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",27,"B27",27,0.326,2.092,0.731,"",27,0.374,2.241,0.744,"angle","B",-1.12085789761543,-0.983499481567605
"193",193,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",29,"B29",29,0.818,3.31,1.183,"",29,1.01,3.652,1.254,"","B",-0.20089294237939,0.00995033085316809
"195",195,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",31,"B31",31,0.237,1.775,0.624,"",31,0.358,2.191,0.751,"","B",-1.43969513784701,-1.02722229258144
"196",196,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",32,"B32",32,0.821,3.327,1.13,"",32,1.014,3.673,1.265,"","B",-0.197232169529709,0.0139029051689914
"197",197,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",33,"B33",33,0.432,2.436,0.882,"",33,0.465,2.523,0.923,"fuzzy","B",-0.839329690738027,-0.765717873394781
"199",199,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",35,"B35",35,1.05,3.769,1.365,"",35,0.003,0.603,0.301,"gone","B",0.048790164169432,-5.80914299031403
"201",201,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",37,"B37",37,0.736,3.127,1.102,"",37,0.881,3.402,1.158,"","B",-0.306525160253261,-0.126697653045958
